,ID,NAME,GEOID,B02001e1,B02001e2,B02001e3,B02001e4,B02001e5,B02001e6,B17001e2,B19113e1,percent_white,percent_black,percent_native,percent_asian,percent_island,percent_other,percent_poverty
0,31039,Cuming,05000US31039,8882,8186,24,38,15,13,430,73625.0,92.16,0.27,0.43,0.17,0.15,6.820000000000004,4.84
1,53069,Wahkiakum,05000US53069,4318,3819,53,38,72,1,387,66214.0,88.44,1.23,0.88,1.67,0.02,7.760000000000002,8.96
2,35011,De Baca,05000US35011,1995,897,85,4,0,0,275,65893.0,44.96,4.26,0.2,0.0,0.0,50.58,13.78
3,31109,Lancaster,05000US31109,315976,269189,12324,2027,13418,205,35892,81988.0,85.19,3.9,0.64,4.25,0.06,5.960000000000002,11.36
4,31129,Nuckolls,05000US31129,4204,4074,13,31,47,7,372,65446.0,96.91,0.31,0.74,1.12,0.17,0.7500000000000034,8.85
5,72085,Las Piedras,05000US72085,37233,5772,26084,31,19,0,14044,27024.0,15.5,70.06,0.08,0.05,0.0,14.309999999999997,37.72
6,46099,Minnehaha,05000US46099,191682,162240,11748,3712,3995,48,17009,82208.0,84.64,6.13,1.94,2.08,0.03,5.180000000000001,8.87
7,48327,Menard,05000US48327,2108,1668,2,3,0,0,288,61406.0,79.13,0.09,0.14,0.0,0.0,20.640000000000004,13.66
8,6091,Sierra,05000US06091,2898,2722,3,69,0,0,271,70238.0,93.93,0.1,2.38,0.0,0.0,3.5899999999999936,9.35
9,21053,Clinton,05000US21053,10175,9829,35,0,15,0,2223,41710.0,96.6,0.34,0.0,0.15,0.0,2.910000000000006,21.85
10,39063,Hancock,05000US39063,75765,69893,1023,76,1581,0,7618,76704.0,92.25,1.35,0.1,2.09,0.0,4.210000000000001,10.05
11,48189,Hale,05000US48189,33463,27203,1442,58,116,4,5555,55830.0,81.29,4.31,0.17,0.35,0.01,13.869999999999996,16.6
12,1027,Clay,05000US01027,13285,11068,2035,20,33,0,2018,53185.0,83.31,15.32,0.15,0.25,0.0,0.9699999999999975,15.19
13,48011,Armstrong,05000US48011,1950,1786,14,15,0,0,136,77955.0,91.59,0.72,0.77,0.0,0.0,6.919999999999996,6.97
14,39003,Allen,05000US39003,102808,84196,11645,161,861,0,12702,64913.0,81.9,11.33,0.16,0.84,0.0,5.769999999999994,12.36
15,13189,McDuffie,05000US13189,21404,11470,8547,0,91,244,4010,51244.0,53.59,39.93,0.0,0.43,1.14,4.9099999999999975,18.73
16,55111,Sauk,05000US55111,64152,59758,451,804,331,11,5648,76662.0,93.15,0.7,1.25,0.52,0.02,4.359999999999994,8.8
17,5137,Stone,05000US05137,12582,11835,12,45,64,0,2545,51133.0,94.06,0.1,0.36,0.51,0.0,4.969999999999998,20.23
18,41063,Wallowa,05000US41063,7065,6623,51,49,17,20,674,66440.0,93.74,0.72,0.69,0.24,0.28,4.3300000000000045,9.54
19,42007,Beaver,05000US42007,164781,147857,9769,150,759,51,15910,75674.0,89.73,5.93,0.09,0.46,0.03,3.7599999999999967,9.66
20,28061,Jasper,05000US28061,16454,7324,8930,0,0,0,3476,49561.0,44.51,54.27,0.0,0.0,0.0,1.2199999999999989,21.13
21,29083,Henry,05000US29083,21854,20859,267,49,118,1,3782,57725.0,95.45,1.22,0.22,0.54,0.0,2.569999999999997,17.31
22,8109,Saguache,05000US08109,6730,5963,74,92,7,0,1087,54044.0,88.6,1.1,1.37,0.1,0.0,8.830000000000007,16.15
23,37037,Chatham,05000US37037,72853,57630,8598,130,1182,0,7736,88206.0,79.1,11.8,0.18,1.62,0.0,7.300000000000005,10.62
